[19-Apr-2020 09:13:36 UTC] PHP Notice:  Undefined offset: 1 in C:\xampp\htdocs\wordpress\wp-includes\plugin.php on line 929
[19-Apr-2020 09:13:57 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_login' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 09:13:57 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_booking' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 09:13:58 UTC] PHP Notice:  Undefined offset: 1 in C:\xampp\htdocs\wordpress\wp-includes\plugin.php on line 929
[19-Apr-2020 09:14:03 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_login' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 09:14:03 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_booking' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 09:14:03 UTC] PHP Notice:  Undefined offset: 1 in C:\xampp\htdocs\wordpress\wp-includes\plugin.php on line 929
[19-Apr-2020 09:14:08 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_login' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 09:14:08 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_booking' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 09:14:08 UTC] PHP Notice:  Undefined offset: 1 in C:\xampp\htdocs\wordpress\wp-includes\plugin.php on line 929
[19-Apr-2020 09:14:19 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_login' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 09:14:19 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_booking' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 09:14:20 UTC] PHP Notice:  Undefined offset: 1 in C:\xampp\htdocs\wordpress\wp-includes\plugin.php on line 929
[19-Apr-2020 09:14:28 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_login' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 09:14:28 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_booking' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 09:14:29 UTC] PHP Notice:  Undefined offset: 1 in C:\xampp\htdocs\wordpress\wp-includes\plugin.php on line 929
[19-Apr-2020 09:24:59 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_login' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 09:24:59 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_booking' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 09:25:10 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\xampp\htdocs\wordpress\wp-content\plugins\woocommerce\packages\woocommerce-blocks\src\RestApi\StoreApi\Schemas\ProductAttributeSchema.php on line 10
[19-Apr-2020 09:27:53 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_login' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 09:27:53 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_booking' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 09:27:54 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\xampp\htdocs\wordpress\wp-content\plugins\elementor\includes\base\element-base.php on line 4
[19-Apr-2020 09:28:43 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_login' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 09:28:43 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_booking' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 09:28:59 UTC] PHP Notice:  Undefined variable: user in C:\xampp\htdocs\wordpress\wp-content\themes\astra\functions.php on line 259
[19-Apr-2020 09:28:59 UTC] PHP Notice:  Undefined variable: user in C:\xampp\htdocs\wordpress\wp-content\themes\astra\functions.php on line 261
[19-Apr-2020 09:33:14 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_login' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 09:33:14 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_booking' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
